transformation_id,mapping_id,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
AST_94172cfc971b4978,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,SQ_W_DAY_D1,Source Qualifier,NO,11,52
AST_a09bcb33407bc2c5,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,Lookup_perf1,Lookup Procedure,NO,32,8
AST_43ba451c85ca55f5,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS_ORG,Lookup Procedure,NO,32,6
AST_afc39e01250855a0,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_GRE_ID,Lookup Procedure,NO,32,3
AST_7b1e67d4d264d56a,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_PER_PERIODS_OF_SERVICE,Lookup Procedure,NO,32,5
AST_d0f5f2f8b07b99ac,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_PAY_GRADE_RULES_F,Lookup Procedure,NO,32,6
AST_1de539ecd7311f65,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,EXPTRANS1,Expression,NO,1,71
AST_0a4d7ebdf25adcb9,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_PER_PERFORMANCE_REVEIW_WS1,Lookup Procedure,NO,32,5
AST_3a4319d584f648e6,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,Change_Amnt,Lookup Procedure,NO,32,5
AST_d5c4928fb28ea8f0,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_currency_code,Lookup Procedure,NO,32,3
AST_f799ea24553d7387,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,ORG_ENTRY_DT,Lookup Procedure,NO,32,6
AST_2eb0cd92bd7cee21,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,JOB_ENTRY_DT,Lookup Procedure,NO,32,6
AST_66fd62f1bde47c7f,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,PERFROMANCE_RATING1,Lookup Procedure,NO,32,16
AST_0cf7f38ac5482d94,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,GRD_ENTRY_DATE,Lookup Procedure,NO,32,6
AST_115abbf89fcc920d,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,WC_MNMGNT_INCENTIVES_D,Lookup Procedure,NO,32,5
AST_bfd5805e99b3a494,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,Exp_Salary1,Expression,NO,1,73
AST_ff3de880ea19e880,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,ADJ_SVC_DATE,Lookup Procedure,NO,32,6
AST_62923c2e4918e6ee,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,Change_Amount,Expression,NO,1,4
AST_3912d2e7aff32c17,AST_91f937e85d220e76,SDE_EmployeeHeadCount1,LKP_ECRFLAG1,Lookup Procedure,NO,32,3
