file_name,repository_name,folder_name,mapping_name,transformation_name,port_scope,port_name,datatype,precision,scale,port_type,expression
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,EcoSysTimephasedBudgetId,integer,10,0,INPUT/OUTPUT,EcoSysTimephasedBudgetId
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,ProjectNumber,string,10,0,INPUT/OUTPUT,ProjectNumber
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,ProjectPeriod,string,10,0,INPUT/OUTPUT,ProjectPeriod
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,WorkflowInstanceId,integer,10,0,INPUT/OUTPUT,WorkflowInstanceId
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,BudgetHeaderId,string,100,0,INPUT/OUTPUT,BudgetHeaderId
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,ChangeHeaderId,string,100,0,INPUT/OUTPUT,ChangeHeaderId
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,CostAccountField,string,100,0,INPUT/OUTPUT,CostAccountField
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,PathId,string,100,0,INPUT/OUTPUT,PathId
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,MinorPeriod,string,10,0,INPUT/OUTPUT,MinorPeriod
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,JacobsCost,decimal,15,2,INPUT/OUTPUT,JacobsCost
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,ClientCost,decimal,15,2,INPUT/OUTPUT,ClientCost
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,JacobsHours,decimal,13,2,INPUT/OUTPUT,JacobsHours
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,ClientHours,decimal,13,2,INPUT/OUTPUT,ClientHours
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,Currency,string,10,0,INPUT/OUTPUT,Currency
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,Integration_Id,string,80,0,INPUT/OUTPUT,Integration_Id
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,DATASOURCE_NUM_ID,integer,10,0,OUTPUT,$$DATASOURCE_NUM_ID
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,Gid_EAC_Hours,decimal,10,0,INPUT/OUTPUT,Gid_EAC_Hours
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,GDCName,string,100,0,INPUT/OUTPUT,GDCName
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,GID_CB_FUNC_DIRECTCOST,decimal,13,0,INPUT/OUTPUT,GID_CB_FUNC_DIRECTCOST
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,GID_CB_FUNC_ATBILLREVENUE,decimal,13,0,INPUT/OUTPUT,GID_CB_FUNC_ATBILLREVENUE
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,TRANSFORMATION,GIDBillableHours,decimal,13,2,INPUT/OUTPUT,GIDBillableHours
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Scenario,string,30,0,INPUT/OUTPUT,Scenario
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Year,string,30,0,INPUT/OUTPUT,Year
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Period,string,30,0,INPUT/OUTPUT,Period
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Legal_Entity,string,30,0,INPUT/OUTPUT,Legal_Entity
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Performance_Unit,string,30,0,INPUT/OUTPUT,Performance_Unit
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Currency,string,30,0,INPUT/OUTPUT,Currency
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,EXPTRANS,TRANSFORMATION,Account,string,30,0,INPUT/OUTPUT,Account
