file_name,repository_name,folder_name,mapping_name,from_instance,from_field,to_instance,to_field,from_instance_type,to_instance_type
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,GID_CB_FUNC_ATBILLREVENUE,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_CB_FUNC_ATBILLREVENUE,Expression,Target Definition
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,EXPTRAN,GIDBillableHours,WC_BI_TIMEPHASEDATA_BUDGET_FS,GID_BILLABLE_HOURS,Expression,Target Definition
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,EcoSysTimephasedBudgetId,SQ_BI_TimephasedData_Budget,EcoSysTimephasedBudgetId,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,ProjectNumber,SQ_BI_TimephasedData_Budget,ProjectNumber,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,ProjectPeriod,SQ_BI_TimephasedData_Budget,ProjectPeriod,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,WorkflowInstanceId,SQ_BI_TimephasedData_Budget,WorkflowInstanceId,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,BudgetHeaderId,SQ_BI_TimephasedData_Budget,BudgetHeaderId,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,ChangeHeaderId,SQ_BI_TimephasedData_Budget,ChangeHeaderId,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,CostAccountField,SQ_BI_TimephasedData_Budget,CostAccountField,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,PathId,SQ_BI_TimephasedData_Budget,PathId,Source Definition,Source Qualifier
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,BI_TimephasedData_Budget,MinorPeriod,SQ_BI_TimephasedData_Budget,MinorPeriod,Source Definition,Source Qualifier
