file_name,repository_name,folder_name,source_name,database_type,owner_name,column_count
SIL_EmployeeDimension_SCDUpdate.XML,BIINFAPROD_FLEX,Custom_SIL,W_EMPLOYEE_D,Oracle,BIDATA,318
SIL_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SIL,WC_WRKFC_HEADCNT_FS,Oracle,DEV_DW,66
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_STATUS_D,Oracle,,29
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_PROJ_COST_LINE_FS,Oracle,PROJECTS12,118
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_PARTY_ORG_D,Oracle,GRAWANG,254
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_XACT_TYPE_D,Oracle,,41
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_USER_D,Oracle,,58
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_MFG_RESOURCE_D,Oracle,PROJECTS12,27
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,WC_BU_ORG_DH,Oracle,,32
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_PROJECT_D,Oracle,PROJECTS12,67
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_MCAL_PERIOD_D,Oracle,,70
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_PRODUCT_D,Oracle,,220
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_EMPLOYEE_D,Oracle,,217
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_FINANCIAL_RESOURCE_D,Oracle,PROJECTS12,30
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_PROJECT_ROLE_D,Oracle,PROJECTS12,21
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_CODE_D,Oracle,PSUNDAR,15
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_INVENTORY_PRODUCT_D,Oracle,,116
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_WORK_TYPE_D,Oracle,PROJECTS12,25
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_INT_ORG_D,Oracle,TENNDEV,211
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_JOB_D,Oracle,AA795_VJASTI,43
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,W_MCAL_CONTEXT_G,Oracle,,14
