file_name,repository_name,folder_name,mapping_name,instance_name,instance_type,transformation_name,transformation_type,reusable_flag
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,SQ_ProjectReview_Submitted,TRANSFORMATION,SQ_ProjectReview_Submitted,Source Qualifier,NO
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,EXPTRANS,TRANSFORMATION,EXPTRANS,Expression,NO
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,ProjectReview_Submitted,SOURCE,ProjectReview_Submitted,Source Definition,
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,WC_BI_TIMEPHASEDATA_BUDGET_F,TARGET,WC_BI_TIMEPHASEDATA_BUDGET_F,Target Definition,
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,UPDTRANS,TRANSFORMATION,UPDTRANS,Update Strategy,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,EXPTRAN,TRANSFORMATION,EXPTRAN,Expression,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,FILTRANS,TRANSFORMATION,FILTRANS,Filter,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,EXPTRANS1,TRANSFORMATION,EXPTRANS1,Expression,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,SQ_WC_BI_TIMEPHASEDATA_BUDGET_FS,TRANSFORMATION,SQ_WC_BI_TIMEPHASEDATA_BUDGET_FS,Source Qualifier,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,LKPTRANS,TRANSFORMATION,LKPTRANS,Lookup Procedure,NO
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,WC_BI_TIMEPHASEDATA_BUDGET_FS,SOURCE,WC_BI_TIMEPHASEDATA_BUDGET_FS,Source Definition,
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,MPLT_GET_ETL_PROC_WID,MAPPLET,MPLT_GET_ETL_PROC_WID,Mapplet,YES
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BItimePhaseDataBudgetFact,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly,MAPPLET,MPLT_CURCY_CONVERSION_RATES_ToGlobalCurrenciesOnly,Mapplet,YES
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,WC_PBCS_BUDGET_ACTUALS_F,TARGET,WC_PBCS_BUDGET_ACTUALS_F,Target Definition,
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,SQ_WC_PBCS_BUDGET_ACTUALS_FS,TRANSFORMATION,SQ_WC_PBCS_BUDGET_ACTUALS_FS,Source Qualifier,NO
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,EXPTRANS,TRANSFORMATION,EXPTRANS,Expression,NO
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,WC_PBCS_BUDGET_ACTUALS_FS,SOURCE,WC_PBCS_BUDGET_ACTUALS_FS,Source Definition,
