file_name,repository_name,folder_name,workflow_name,is_valid,is_enabled,server_name,task_instance_count,workflow_link_count
JEG_SDE_IPCS_BItimePhasedDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_IPCS_BItimePhasedDataBudgetFact,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
JEG_SDE_ORA_PBCS_Actual_Proforma.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_Proforma,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
JEG_SDE_ORA_PBCS_Actual_SM.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_PBCS_Actual_SM,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS.XML,BIINFAPROD_FLEX,Custom_SDE_PBCS,JEG_SDE_ORA_WC_PBCS_BUDGET_ACTUALS_FS,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
JEG_SDE_POL_ProjectReviewSubmittedDimensionStage.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,JEG_SDE_POL_ProjectReviewSubmittedDimensionStage,YES,YES,,2,1
JEG_SIL_IPCS_BITimephaseDataBudgetFact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA,JEG_SIL_IPCS_BITimephaseDataBudgetFact,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F.XML,BIINFAPROD_FLEX,Custom_SILOS_PBCS,JEG_SIL_WC_PBCS_BUDGET_ACTUALS_F,YES,YES,BIINFAPROD_FLEX_Integration_Service,3,2
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount,YES,YES,BIINFAPROD_FLEX_Integration_Service,4,3
SDE_ORA_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_ORA_EmployeeDimension,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
SDE_ORA_ProjectCostLine.XML,BIINFAPROD_FLEX,Custom_SDE_ORAR1213_Adaptor,SDE_ORA_ProjectCostLine,YES,YES,BIINFAPROD_FLEX_Integration_Service,12,11
SIL_EmployeeDimension.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
SIL_EmployeeDimension_SCDUpdate.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeDimension_SCDUpdate,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
SIL_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SIL,SIL_EmployeeHeadCount,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
SIL_ProjectCostLine_Fact.XML,BIINFAPROD_FLEX,Custom_SILOS_PA_Retro,SIL_ProjectCostLine_Fact,YES,YES,BIINFAPROD_FLEX_Integration_Service,2,1
