file_name,repository_name,folder_name,mapping_name,transformation_name,transformation_type,reusable_flag,attribute_count,port_count
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,ORG_ENTRY_DT,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,JOB_ENTRY_DT,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,Change_Amnt,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,GRD_ENTRY_DATE,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,WC_MNMGNT_INCENTIVES_D,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,EXPTRANS,Expression,NO,1,66
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,SQL,Custom Transformation,NO,16,53
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount2,ADJ_SVC_DATE,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,JEG_SDE_ORA_TRUNCATE_DIM,SQ_AP_INVOICES_ALL,Source Qualifier,NO,11,1
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,SQ_W_DAY_D1,Source Qualifier,NO,11,52
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Lookup_perf1,Lookup Procedure,NO,32,8
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS_ORG,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_GRE_ID,Lookup Procedure,NO,32,3
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PER_PERIODS_OF_SERVICE,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PAY_GRADE_RULES_F,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,EXPTRANS1,Expression,NO,1,71
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_PER_PERFORMANCE_REVEIW_WS1,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Change_Amnt,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_currency_code,Lookup Procedure,NO,32,3
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,ORG_ENTRY_DT,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,JOB_ENTRY_DT,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,PERFROMANCE_RATING1,Lookup Procedure,NO,32,16
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,GRD_ENTRY_DATE,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,WC_MNMGNT_INCENTIVES_D,Lookup Procedure,NO,32,5
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Exp_Salary1,Expression,NO,1,73
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,ADJ_SVC_DATE,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,Change_Amount,Expression,NO,1,4
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_ECRFLAG1,Lookup Procedure,NO,32,3
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_TERM_PAAF,Lookup Procedure,NO,32,8
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_SUPERVISOR_BUSINESS,Lookup Procedure,NO,32,6
SDE_EmployeeHeadCount.XML,BIINFAPROD_FLEX,Custom_SDE,SDE_EmployeeHeadCount1,LKP_TERM_PayBasis,Lookup Procedure,NO,32,7
